year,player_id,name,country,position,primary_club,clubs,club_spans,tracked_months,top10_months,best_global_rank,peak_value_million_eur,latest_value_million_eur,latest_month
2015,203460,Jack Grealish,England,Attack,Aston Villa,Aston Villa,Jan-Dec: Aston Villa,12,0,1084,4.5,4.5,2015-12
2016,203460,Jack Grealish,England,Attack,Aston Villa,Aston Villa,Jan-Dec: Aston Villa,12,0,1111,4.5,4.5,2016-12
2017,203460,Jack Grealish,England,Attack,Aston Villa,Aston Villa,Jan-Dec: Aston Villa,12,0,1046,5,5,2017-12
2018,203460,Jack Grealish,England,Attack,Aston Villa,Aston Villa,Jan-Dec: Aston Villa,12,0,337,20,20,2018-12
2019,203460,Jack Grealish,England,Attack,Aston Villa,Aston Villa,Jan-Dec: Aston Villa,12,0,213,35,35,2019-12
2020,203460,Jack Grealish,England,Attack,Aston Villa,Aston Villa,Jan-Dec: Aston Villa,12,0,83,50,50,2020-12
2021,203460,Jack Grealish,England,Attack,Aston Villa,Aston Villa | Manchester City,Jan-Sep: Aston Villa | Oct-Dec: Manchester City,12,2,4,100,80,2021-12
2022,203460,Jack Grealish,England,Attack,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,14,80,70,2022-12
2023,203460,Jack Grealish,England,Attack,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,33,75,70,2023-12
2024,203460,Jack Grealish,England,Attack,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,44,70,45,2024-12
2025,203460,Jack Grealish,England,Attack,Manchester City,Manchester City | Everton FC,Jan-Nov: Manchester City | Dec: Everton FC,12,0,129,45,25,2025-12
2026,203460,Jack Grealish,England,Attack,Everton FC,Everton FC | Everton Football Club,Jan-May: Everton FC | Jun: Everton Football Club,6,0,313,25,25,2026-06
2017,371998,Vinicius Junior,Brazil,Attack,CR Flamengo,CR Flamengo,Oct-Dec: CR Flamengo,3,0,245,20,20,2017-12
2018,371998,Vinicius Junior,Brazil,Attack,CR Flamengo,CR Flamengo | Real Madrid,Jan-Nov: CR Flamengo | Dec: Real Madrid,12,0,148,35,35,2018-12
2019,371998,Vinicius Junior,Brazil,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,50,70,50,2019-12
2020,371998,Vinicius Junior,Brazil,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,98,50,50,2020-12
2021,371998,Vinicius Junior,Brazil,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,1,6,100,100,2021-12
2022,371998,Vinicius Junior,Brazil,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,12,3,120,120,2022-12
2023,371998,Vinicius Junior,Brazil,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,12,3,150,150,2023-12
2024,371998,Vinicius Junior,Brazil,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,12,4,180,180,2024-12
2025,371998,Vinicius Junior,Brazil,Attack,Real Madrid,Real Madrid,Jan-Nov: Real Madrid,11,11,4,180,180,2025-11
2026,371998,Vinicius Junior,Brazil,Attack,Real Madrid Club de Fútbol,Real Madrid Club de Fútbol,Jun: Real Madrid Club de Fútbol,1,1,3,180,180,2026-06
2018,406635,Phil Foden,England,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,400,20,20,2018-12
2019,406635,Phil Foden,England,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,274,30,30,2019-12
2020,406635,Phil Foden,England,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,61,60,60,2020-12
2021,406635,Phil Foden,England,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,13,85,85,2021-12
2022,406635,Phil Foden,England,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,10,4,110,110,2022-12
2023,406635,Phil Foden,England,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,12,5,110,110,2023-12
2024,406635,Phil Foden,England,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,12,4,150,150,2024-12
2025,406635,Phil Foden,England,Midfield,Manchester City,Manchester City,Jan-Oct: Manchester City,10,10,5,150,150,2025-10
2026,406635,Phil Foden,England,Midfield,Manchester City Football Club,Manchester City Football Club,Jun: Manchester City Football Club,1,1,5,150,150,2026-06
2016,357498,Dušan Vlahović,Serbia,Attack,FK Partizan Belgrade,FK Partizan Belgrade,May-Dec: FK Partizan Belgrade,8,0,6130,0.5,0.5,2016-12
2017,357498,Dušan Vlahović,Serbia,Attack,FK Partizan Belgrade,FK Partizan Belgrade,Jan-Dec: FK Partizan Belgrade,12,0,6150,0.5,0.5,2017-12
2018,357498,Dušan Vlahović,Serbia,Attack,ACF Fiorentina,FK Partizan Belgrade | ACF Fiorentina,Jan-Jun: FK Partizan Belgrade | Jul-Dec: ACF Fiorentina,12,0,3988,1,1,2018-12
2019,357498,Dušan Vlahović,Serbia,Attack,ACF Fiorentina,ACF Fiorentina,Jan-Dec: ACF Fiorentina,12,0,1447,6,6,2019-12
2020,357498,Dušan Vlahović,Serbia,Attack,ACF Fiorentina,ACF Fiorentina,Jan-Dec: ACF Fiorentina,12,0,475,18,16,2020-12
2021,357498,Dušan Vlahović,Serbia,Attack,ACF Fiorentina,ACF Fiorentina,Jan-Dec: ACF Fiorentina,12,0,29,70,70,2021-12
2022,357498,Dušan Vlahović,Serbia,Attack,Juventus FC,ACF Fiorentina | Juventus FC,Jan-Feb: ACF Fiorentina | Mar-Dec: Juventus FC,12,8,8,85,80,2022-12
2023,357498,Dušan Vlahović,Serbia,Attack,Juventus FC,Juventus FC,Jan-Dec: Juventus FC,12,0,17,80,60,2023-12
2024,357498,Dušan Vlahović,Serbia,Attack,Juventus FC,Juventus FC,Jan-Dec: Juventus FC,12,0,52,65,60,2024-12
2025,357498,Dušan Vlahović,Serbia,Attack,Juventus FC,Juventus FC,Jan-Dec: Juventus FC,12,0,60,60,35,2025-12
2026,357498,Dušan Vlahović,Serbia,Attack,Juventus FC,Juventus FC | Juventus Football Club,Jan-May: Juventus FC | Jun: Juventus Football Club,6,0,169,35,35,2026-06
2013,161056,Joshua Kimmich,Germany,Midfield,RB Leipzig,RB Leipzig,Aug-Dec: RB Leipzig,5,0,7988,0.3,0.3,2013-12
2014,161056,Joshua Kimmich,Germany,Midfield,RB Leipzig,RB Leipzig,Jan-Dec: RB Leipzig,12,0,2971,1.5,1.5,2014-12
2015,161056,Joshua Kimmich,Germany,Midfield,RB Leipzig,RB Leipzig | VfB Stuttgart,Jan-Jun: RB Leipzig | Jul-Dec: VfB Stuttgart,12,0,921,5,5,2015-12
2016,161056,Joshua Kimmich,Germany,Midfield,Bayern Munich,VfB Stuttgart | Bayern Munich,Jan: VfB Stuttgart | Feb-Dec: Bayern Munich,12,0,164,20,20,2016-12
2017,161056,Joshua Kimmich,Germany,Midfield,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,60,40,40,2017-12
2018,161056,Joshua Kimmich,Germany,Midfield,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,62,60,60,2018-12
2019,161056,Joshua Kimmich,Germany,Midfield,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,31,80,80,2019-12
2020,161056,Joshua Kimmich,Germany,Midfield,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,13,85,85,2020-12
2021,161056,Joshua Kimmich,Germany,Midfield,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,11,90,85,2021-12
2022,161056,Joshua Kimmich,Germany,Midfield,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,1,10,85,80,2022-12
2023,161056,Joshua Kimmich,Germany,Midfield,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,18,80,75,2023-12
2024,161056,Joshua Kimmich,Germany,Midfield,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,35,75,50,2024-12
2025,161056,Joshua Kimmich,Germany,Midfield,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,101,50,40,2025-12
2026,161056,Joshua Kimmich,Germany,Midfield,Bayern Munich,Bayern Munich | FC Bayern München,Jan-May: Bayern Munich | Jun: FC Bayern München,6,0,139,40,40,2026-06
2013,241641,Bernardo Silva,Portugal,Midfield,SL Benfica B,SL Benfica B,Nov-Dec: SL Benfica B,2,0,5391,0.6,0.6,2013-12
2014,241641,Bernardo Silva,Portugal,Midfield,SL Benfica B,SL Benfica B,Jan-Dec: SL Benfica B,12,0,1741,2.5,2.5,2014-12
2015,241641,Bernardo Silva,Portugal,Midfield,AS Monaco,AS Monaco,Jan-Dec: AS Monaco,12,0,217,15,15,2015-12
2016,241641,Bernardo Silva,Portugal,Midfield,AS Monaco,AS Monaco,Jan-Dec: AS Monaco,12,0,161,20,20,2016-12
2017,241641,Bernardo Silva,Portugal,Midfield,AS Monaco,AS Monaco,Jan-Dec: AS Monaco,12,0,38,40,40,2017-12
2018,241641,Bernardo Silva,Portugal,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,52,65,65,2018-12
2019,241641,Bernardo Silva,Portugal,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,11,100,100,2019-12
2020,241641,Bernardo Silva,Portugal,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,12,100,70,2020-12
2021,241641,Bernardo Silva,Portugal,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,21,75,75,2021-12
2022,241641,Bernardo Silva,Portugal,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,3,10,80,80,2022-12
2023,241641,Bernardo Silva,Portugal,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,14,80,80,2023-12
2024,241641,Bernardo Silva,Portugal,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,23,80,60,2024-12
2025,241641,Bernardo Silva,Portugal,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,55,60,27,2025-12
2026,241641,Bernardo Silva,Portugal,Midfield,Manchester City,Manchester City | Manchester City Football Club,Jan-May: Manchester City | Jun: Manchester City Football Club,6,0,286,27,27,2026-06
2019,581678,Jude Bellingham,England,Midfield,Birmingham City,Birmingham City,Oct-Dec: Birmingham City,3,0,2776,2.5,2.5,2019-12
2020,581678,Jude Bellingham,England,Midfield,Birmingham City,Birmingham City | Borussia Dortmund,Jan-Aug: Birmingham City | Sep-Dec: Borussia Dortmund,12,0,263,27,27,2020-12
2021,581678,Jude Bellingham,England,Midfield,Borussia Dortmund,Borussia Dortmund,Jan-Dec: Borussia Dortmund,12,0,23,75,75,2021-12
2022,581678,Jude Bellingham,England,Midfield,Borussia Dortmund,Borussia Dortmund,Jan-Dec: Borussia Dortmund,12,4,4,110,110,2022-12
2023,581678,Jude Bellingham,England,Midfield,Borussia Dortmund,Borussia Dortmund | Real Madrid,Jan-Sep: Borussia Dortmund | Oct-Dec: Real Madrid,12,12,2,180,180,2023-12
2024,581678,Jude Bellingham,England,Midfield,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,12,2,180,180,2024-12
2025,581678,Jude Bellingham,England,Midfield,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,12,2,180,160,2025-12
2026,581678,Jude Bellingham,England,Midfield,Real Madrid,Real Madrid | Real Madrid Club de Fútbol,Jan-May: Real Madrid | Jun: Real Madrid Club de Fútbol,6,6,2,160,160,2026-06
2019,683840,Pedri,Spain,Midfield,UD Las Palmas,UD Las Palmas,Sep-Dec: UD Las Palmas,4,0,1195,8,8,2019-12
2020,683840,Pedri,Spain,Midfield,UD Las Palmas,UD Las Palmas | FC Barcelona,Jan-Sep: UD Las Palmas | Oct-Dec: FC Barcelona,12,0,232,30,30,2020-12
2021,683840,Pedri,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,18,80,80,2021-12
2022,683840,Pedri,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,4,7,100,100,2022-12
2023,683840,Pedri,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,9,9,100,90,2023-12
2024,683840,Pedri,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,22,90,80,2024-12
2025,683840,Pedri,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Nov: FC Barcelona,11,0,29,80,80,2025-11
2026,683840,Pedri,Spain,Midfield,Futbol Club Barcelona,Futbol Club Barcelona,Jun: Futbol Club Barcelona,1,0,34,80,80,2026-06
2019,433177,Bukayo Saka,England,Attack,Arsenal FC,Arsenal FC,Sep-Dec: Arsenal FC,4,0,761,13,13,2019-12
2020,433177,Bukayo Saka,England,Attack,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,0,127,40,40,2020-12
2021,433177,Bukayo Saka,England,Attack,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,0,39,65,65,2021-12
2022,433177,Bukayo Saka,England,Attack,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,2,6,100,100,2022-12
2023,433177,Bukayo Saka,England,Attack,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,12,4,120,120,2023-12
2024,433177,Bukayo Saka,England,Attack,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,12,5,150,150,2024-12
2025,433177,Bukayo Saka,England,Attack,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,12,3,150,130,2025-12
2026,433177,Bukayo Saka,England,Attack,Arsenal FC,Arsenal FC | Arsenal Football Club,Jan-May: Arsenal FC | Jun: Arsenal Football Club,6,6,3,130,130,2026-06
2020,580195,Jamal Musiala,Germany,Midfield,Bayern Munich,Bayern Munich,Jul-Dec: Bayern Munich,6,0,873,10,10,2020-12
2021,580195,Jamal Musiala,Germany,Midfield,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,70,55,55,2021-12
2022,580195,Jamal Musiala,Germany,Midfield,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,2,6,100,100,2022-12
2023,580195,Jamal Musiala,Germany,Midfield,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,12,6,110,110,2023-12
2024,580195,Jamal Musiala,Germany,Midfield,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,12,8,140,140,2024-12
2025,580195,Jamal Musiala,Germany,Midfield,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,12,4,140,130,2025-12
2026,580195,Jamal Musiala,Germany,Midfield,Bayern Munich,Bayern Munich | FC Bayern München,Jan-May: Bayern Munich | Jun: FC Bayern München,6,6,4,130,130,2026-06
2015,369081,Federico Valverde,Uruguay,Midfield,CA Peñarol,CA Peñarol,Aug-Dec: CA Peñarol,5,0,7280,0.4,0.4,2015-12
2016,369081,Federico Valverde,Uruguay,Midfield,CA Peñarol,CA Peñarol | Real Madrid Castilla,Jan-Jul: CA Peñarol | Aug-Dec: Real Madrid Castilla,12,0,3841,1,1,2016-12
2017,369081,Federico Valverde,Uruguay,Midfield,Real Madrid Castilla,Real Madrid Castilla,Jan-Dec: Real Madrid Castilla,12,0,1702,3,3,2017-12
2018,369081,Federico Valverde,Uruguay,Midfield,Deportivo de La Coruña,Deportivo de La Coruña | Real Madrid,Jan-Nov: Deportivo de La Coruña | Dec: Real Madrid,12,0,1090,6,6,2018-12
2019,369081,Federico Valverde,Uruguay,Midfield,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,104,50,50,2019-12
2020,369081,Federico Valverde,Uruguay,Midfield,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,32,70,70,2020-12
2021,369081,Federico Valverde,Uruguay,Midfield,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,28,70,65,2021-12
2022,369081,Federico Valverde,Uruguay,Midfield,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,2,5,100,100,2022-12
2023,369081,Federico Valverde,Uruguay,Midfield,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,9,7,100,100,2023-12
2024,369081,Federico Valverde,Uruguay,Midfield,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,4,7,130,130,2024-12
2025,369081,Federico Valverde,Uruguay,Midfield,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,12,8,130,120,2025-12
2026,369081,Federico Valverde,Uruguay,Midfield,Real Madrid,Real Madrid | Real Madrid Club de Fútbol,Jan-May: Real Madrid | Jun: Real Madrid Club de Fútbol,6,5,9,120,120,2026-06
2021,646740,Gavi,Spain,Midfield,FC Barcelona,FC Barcelona,Oct-Dec: FC Barcelona,3,0,124,40,40,2021-12
2022,646740,Gavi,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,1,10,90,90,2022-12
2023,646740,Gavi,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,11,90,90,2023-12
2024,646740,Gavi,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,18,90,80,2024-12
2025,646740,Gavi,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,25,80,40,2025-12
2026,646740,Gavi,Spain,Midfield,FC Barcelona,FC Barcelona | Futbol Club Barcelona,Jan-May: FC Barcelona | Jun: Futbol Club Barcelona,6,0,131,40,40,2026-06
2018,413112,Aurélien Tchouaméni,France,Midfield,FC Girondins Bordeaux,FC Girondins Bordeaux,Sep-Dec: FC Girondins Bordeaux,4,0,1315,5,5,2018-12
2019,413112,Aurélien Tchouaméni,France,Midfield,FC Girondins Bordeaux,FC Girondins Bordeaux,Jan-Dec: FC Girondins Bordeaux,12,0,728,14,14,2019-12
2020,413112,Aurélien Tchouaméni,France,Midfield,AS Monaco,FC Girondins Bordeaux | AS Monaco,Jan: FC Girondins Bordeaux | Feb-Dec: AS Monaco,12,0,524,17,16,2020-12
2021,413112,Aurélien Tchouaméni,France,Midfield,AS Monaco,AS Monaco,Jan-Dec: AS Monaco,12,0,121,40,40,2021-12
2022,413112,Aurélien Tchouaméni,France,Midfield,AS Monaco,AS Monaco | Real Madrid,Jan-Aug: AS Monaco | Sep-Dec: Real Madrid,12,1,10,90,90,2022-12
2023,413112,Aurélien Tchouaméni,France,Midfield,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,2,10,90,90,2023-12
2024,413112,Aurélien Tchouaméni,France,Midfield,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,15,100,100,2024-12
2025,413112,Aurélien Tchouaméni,France,Midfield,Real Madrid,Real Madrid,Jan-Nov: Real Madrid,11,0,16,100,100,2025-11
2026,413112,Aurélien Tchouaméni,France,Midfield,Real Madrid Club de Fútbol,Real Madrid Club de Fútbol,Jun: Real Madrid Club de Fútbol,1,0,19,100,100,2026-06
2017,401923,Victor Osimhen,Nigeria,Attack,VfL Wolfsburg,VfL Wolfsburg,Feb-Dec: VfL Wolfsburg,11,0,4263,1,1,2017-12
2018,401923,Victor Osimhen,Nigeria,Attack,VfL Wolfsburg,VfL Wolfsburg | Royal Charleroi SC,Jan-Nov: VfL Wolfsburg | Dec: Royal Charleroi SC,12,0,2320,3,3,2018-12
2019,401923,Victor Osimhen,Nigeria,Attack,Royal Charleroi SC,Royal Charleroi SC | LOSC Lille,Jan-Nov: Royal Charleroi SC | Dec: LOSC Lille,12,0,284,30,30,2019-12
2020,401923,Victor Osimhen,Nigeria,Attack,LOSC Lille,LOSC Lille | SSC Napoli,Jan-Sep: LOSC Lille | Oct-Dec: SSC Napoli,12,0,97,50,50,2020-12
2021,401923,Victor Osimhen,Nigeria,Attack,SSC Napoli,SSC Napoli,Jan-Dec: SSC Napoli,12,0,63,60,60,2021-12
2022,401923,Victor Osimhen,Nigeria,Attack,SSC Napoli,SSC Napoli,Jan-Dec: SSC Napoli,12,0,45,70,70,2022-12
2023,401923,Victor Osimhen,Nigeria,Attack,SSC Napoli,SSC Napoli,Jan-Dec: SSC Napoli,12,9,6,120,110,2023-12
2024,401923,Victor Osimhen,Nigeria,Attack,SSC Napoli,SSC Napoli | Galatasaray,Jan-Sep: SSC Napoli | Oct-Dec: Galatasaray,12,0,12,110,75,2024-12
2025,401923,Victor Osimhen,Nigeria,Attack,Galatasaray,Galatasaray,Jan-Dec: Galatasaray,12,0,35,75,75,2025-12
2026,401923,Victor Osimhen,Nigeria,Attack,Galatasaray,Galatasaray | Galatasaray Spor Kulübü,Jan-May: Galatasaray | Jun: Galatasaray Spor Kulübü,6,0,34,75,75,2026-06
2017,357662,Declan Rice,England,Midfield,West Ham United,West Ham United,Oct-Dec: West Ham United,3,0,6284,0.5,0.5,2017-12
2018,357662,Declan Rice,England,Midfield,West Ham United,West Ham United,Jan-Dec: West Ham United,12,0,350,20,20,2018-12
2019,357662,Declan Rice,England,Midfield,West Ham United,West Ham United,Jan-Dec: West Ham United,12,0,89,55,55,2019-12
2020,357662,Declan Rice,England,Midfield,West Ham United,West Ham United,Jan-Dec: West Ham United,12,0,68,55,55,2020-12
2021,357662,Declan Rice,England,Midfield,West Ham United,West Ham United,Jan-Dec: West Ham United,12,0,22,75,75,2021-12
2022,357662,Declan Rice,England,Midfield,West Ham United,West Ham United,Jan-Dec: West Ham United,12,0,12,80,80,2022-12
2023,357662,Declan Rice,England,Midfield,West Ham United,West Ham United | Arsenal FC,Jan-Sep: West Ham United | Oct-Dec: Arsenal FC,12,3,6,110,110,2023-12
2024,357662,Declan Rice,England,Midfield,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,9,6,120,110,2024-12
2025,357662,Declan Rice,England,Midfield,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,1,8,120,120,2025-12
2026,357662,Declan Rice,England,Midfield,Arsenal FC,Arsenal FC | Arsenal Football Club,Jan-May: Arsenal FC | Jun: Arsenal Football Club,6,5,8,120,120,2026-06
2016,406625,Lautaro Martínez,Argentina,Attack,Racing Club,Racing Club,Feb-Dec: Racing Club,11,0,6396,0.5,0.5,2016-12
2017,406625,Lautaro Martínez,Argentina,Attack,Racing Club,Racing Club,Jan-Dec: Racing Club,12,0,553,10,10,2017-12
2018,406625,Lautaro Martínez,Argentina,Attack,Racing Club,Racing Club | Inter Milan,Jan-Nov: Racing Club | Dec: Inter Milan,12,0,213,25,25,2018-12
2019,406625,Lautaro Martínez,Argentina,Attack,Inter Milan,Inter Milan,Jan-Dec: Inter Milan,12,0,32,80,80,2019-12
2020,406625,Lautaro Martínez,Argentina,Attack,Inter Milan,Inter Milan,Jan-Dec: Inter Milan,12,0,32,80,70,2020-12
2021,406625,Lautaro Martínez,Argentina,Attack,Inter Milan,Inter Milan,Jan-Dec: Inter Milan,12,0,17,80,80,2021-12
2022,406625,Lautaro Martínez,Argentina,Attack,Inter Milan,Inter Milan,Jan-Dec: Inter Milan,12,0,17,80,75,2022-12
2023,406625,Lautaro Martínez,Argentina,Attack,Inter Milan,Inter Milan,Jan-Dec: Inter Milan,12,1,9,110,110,2023-12
2024,406625,Lautaro Martínez,Argentina,Attack,Inter Milan,Inter Milan,Jan-Dec: Inter Milan,12,2,9,110,100,2024-12
2025,406625,Lautaro Martínez,Argentina,Attack,Inter Milan,Inter Milan,Jan-Dec: Inter Milan,12,0,17,100,85,2025-12
2026,406625,Lautaro Martínez,Argentina,Attack,Inter Milan,Inter Milan | Football Club Internazionale Milano S.p.A.,Jan-May: Inter Milan | Jun: Football Club Internazionale Milano S.p.A.,6,0,24,85,85,2026-06
2020,598577,Florian Wirtz,Germany,Midfield,Bayer 04 Leverkusen,Bayer 04 Leverkusen,Jul-Dec: Bayer 04 Leverkusen,6,0,330,24,24,2020-12
2021,598577,Florian Wirtz,Germany,Midfield,Bayer 04 Leverkusen,Bayer 04 Leverkusen,Jan-Dec: Bayer 04 Leverkusen,12,0,31,70,70,2021-12
2022,598577,Florian Wirtz,Germany,Midfield,Bayer 04 Leverkusen,Bayer 04 Leverkusen,Jan-Dec: Bayer 04 Leverkusen,12,0,26,70,70,2022-12
2023,598577,Florian Wirtz,Germany,Midfield,Bayer 04 Leverkusen,Bayer 04 Leverkusen,Jan-Dec: Bayer 04 Leverkusen,12,0,14,100,100,2023-12
2024,598577,Florian Wirtz,Germany,Midfield,Bayer 04 Leverkusen,Bayer 04 Leverkusen,Jan-Dec: Bayer 04 Leverkusen,12,10,7,140,140,2024-12
2025,598577,Florian Wirtz,Germany,Midfield,Bayer 04 Leverkusen,Bayer 04 Leverkusen | Liverpool FC,Jan-Sep: Bayer 04 Leverkusen | Oct-Dec: Liverpool FC,12,11,7,140,110,2025-12
2026,598577,Florian Wirtz,Germany,Midfield,Liverpool FC,Liverpool FC | Liverpool Football Club,Jan-May: Liverpool FC | Jun: Liverpool Football Club,6,5,10,110,110,2026-06
2016,357565,Rodri,Spain,Midfield,Villarreal CF,Villarreal CF,Aug-Dec: Villarreal CF,5,0,6630,0.5,0.5,2016-12
2017,357565,Rodri,Spain,Midfield,Villarreal CF,Villarreal CF,Jan-Dec: Villarreal CF,12,0,2182,2.5,2.5,2017-12
2018,357565,Rodri,Spain,Midfield,Villarreal CF,Villarreal CF | Atlético de Madrid,Jan-Sep: Villarreal CF | Oct-Dec: Atlético de Madrid,12,0,100,50,50,2018-12
2019,357565,Rodri,Spain,Midfield,Atlético de Madrid,Atlético de Madrid | Manchester City,Jan-Nov: Atlético de Madrid | Dec: Manchester City,12,0,32,80,80,2019-12
2020,357565,Rodri,Spain,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,35,80,64,2020-12
2021,357565,Rodri,Spain,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,35,70,70,2021-12
2022,357565,Rodri,Spain,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,16,80,80,2022-12
2023,357565,Rodri,Spain,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,11,110,110,2023-12
2024,357565,Rodri,Spain,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,6,9,130,130,2024-12
2025,357565,Rodri,Spain,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,11,130,75,2025-12
2026,357565,Rodri,Spain,Midfield,Manchester City,Manchester City | Manchester City Football Club,Jan-May: Manchester City | Jun: Manchester City Football Club,6,0,32,75,75,2026-06
2021,568177,Cole Palmer,England,Midfield,Manchester City U23,Manchester City U23 | Manchester City,Mar-Nov: Manchester City U23 | Dec: Manchester City,10,0,2292,3,3,2021-12
2022,568177,Cole Palmer,England,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,586,15,15,2022-12
2023,568177,Cole Palmer,England,Midfield,Manchester City,Manchester City | Chelsea FC,Jan-Sep: Manchester City | Oct-Dec: Chelsea FC,12,0,118,45,45,2023-12
2024,568177,Cole Palmer,England,Midfield,Chelsea FC,Chelsea FC,Jan-Dec: Chelsea FC,12,1,9,130,130,2024-12
2025,568177,Cole Palmer,England,Midfield,Chelsea FC,Chelsea FC,Jan-Dec: Chelsea FC,12,5,7,130,120,2025-12
2026,568177,Cole Palmer,England,Midfield,Chelsea FC,Chelsea FC | Chelsea Football Club,Jan-May: Chelsea FC | Jun: Chelsea Football Club,6,6,7,120,120,2026-06
2016,349066,Alexander Isak,Sweden,Attack,AIK,AIK,Jun-Dec: AIK,7,0,2696,1.75,1.75,2016-12
2017,349066,Alexander Isak,Sweden,Attack,Borussia Dortmund,AIK | Borussia Dortmund,Jan: AIK | Feb-Dec: Borussia Dortmund,12,0,840,6,6,2017-12
