year,name,code,flag,region,currency,value,rank,color,source
2009,Ireland,IRL,🇮🇪,Europe,EUR,0.716958,29,#10B981,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Italy,ITA,🇮🇹,Europe,EUR,0.716958,30,#22C55E,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Luxembourg,LUX,🇱🇺,Europe,EUR,0.716958,31,#A3E635,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Netherlands,NLD,🇳🇱,Europe,EUR,0.716958,32,#F97316,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Portugal,PRT,🇵🇹,Europe,EUR,0.716958,33,#16A34A,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Slovak Republic,SVK,🇸🇰,Europe,EUR,0.716958,34,#2563EB,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Slovenia,SVN,🇸🇮,Europe,EUR,0.716958,35,#65A30D,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Spain,ESP,🇪🇸,Europe,EUR,0.716958,36,#FBBF24,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,United Kingdom,GBR,🇬🇧,Europe,GBP,0.641919,37,#818CF8,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Latvia,LVA,🇱🇻,Europe,LVL,0.505550,38,#DC2626,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2010,Colombia,COL,🇨🇴,Americas,COP,1899.00,1,#FACC15,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2010,South Korea,KOR,🇰🇷,Asia,KRW,1156.46,2,#38BDF8,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2010,Costa Rica,CRI,🇨🇷,Americas,CRC,525.8292,3,#22C55E,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2010,Chile,CHL,🇨🇱,Americas,CLP,510.2492,4,#EF4444,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2010,Hungary,HUN,🇭🇺,Europe,HUF,207.9442,5,#EC4899,"World Bank PA.NUS.FCRF, annual average official exchange rate"
